Country,First_Year,Last_Year,First_CO2,Last_CO2,CO2_Change,CO2_Pct_Change,First_Per_Capita,Last_Per_Capita,Per_Capita_Change,Per_Capita_Pct_Change
World,1980,2023,18721.55,37079.18,18357.63,98.1,4.42,4.59,0.17,3.8
Non-OECD,1980,2023,7567.9,25620.24,18052.34,238.5,2.31,3.83,1.52,65.6
Asia & Oceania,1980,2023,3582.3,20078.53,16496.22,460.5,1.46,4.62,3.16,217.2
Non-OPEC,1980,2023,18245.3,34623.79,16378.49,89.8,4.49,4.57,0.07,1.7
China,1980,2023,1596.7,12195.66,10598.96,663.8,1.62,8.57,6.95,427.9
Other Asia-Pacific,1980,2023,465.13,3029.59,2564.46,551.3,0.76,2.37,1.61,213.4
India,1980,2023,269.95,2820.66,2550.71,944.9,0.39,1.96,1.57,399.4
IEO - Middle East,1980,2023,369.92,2439.19,2069.28,559.4,4.01,8.43,4.42,110.1
Middle East,1980,2023,369.92,2439.19,2069.28,559.4,4.01,8.43,4.42,110.1
Persian Gulf,1980,2023,307.68,2218.45,1910.78,621.0,4.94,11.71,6.77,137.2
IEO - Africa,1980,2023,450.61,1370.54,919.93,204.2,0.94,0.93,-0.02,-1.6
Africa,1980,2023,450.61,1370.54,919.93,204.2,0.94,0.93,-0.02,-1.6
OECD - Asia And Oceania,1980,2023,1254.46,2034.83,780.37,62.2,7.19,9.78,2.59,36.1
Indonesia,1980,2023,72.18,829.66,757.47,1049.4,0.48,2.95,2.47,508.8
Iran,1980,2023,101.68,823.36,721.69,709.8,2.55,9.09,6.54,256.1
Central & South America,1980,2023,590.51,1225.38,634.87,107.5,2.02,2.32,0.3,14.9
Saudi Arabia,1980,2023,107.07,656.51,549.44,513.2,18.63,19.48,0.85,4.6
South Korea,1980,2023,138.9,644.23,505.33,363.8,3.64,12.45,8.81,241.8
South Korea and other OECD Asia,1980,2023,138.9,644.23,505.33,363.8,3.64,12.45,8.81,241.8
North America,1980,2023,5389.08,5823.43,434.35,8.1,16.91,11.5,-5.41,-32.0
OECD - North America,1980,2023,5388.4,5822.27,433.87,8.1,16.91,11.5,-5.41,-32.0
Other Americas,1980,2023,403.45,788.77,385.31,95.5,2.35,2.48,0.13,5.6
Turkiye,1980,2023,62.14,399.17,337.04,542.4,1.37,4.57,3.21,234.3
Thailand,1980,2023,33.57,336.69,303.12,902.9,0.74,4.7,3.96,538.5
Vietnam,1980,2023,9.51,305.4,295.89,3110.2,0.18,3.04,2.86,1579.1
United Arab Emirates,1980,2023,16.44,271.7,255.26,1552.2,16.19,25.53,9.34,57.7
Brazil,1980,2023,187.73,437.77,250.04,133.2,1.55,2.07,0.52,33.9
OPEC - Africa,1980,2023,98.53,335.81,237.28,240.8,1.0,1.15,0.15,15.2
Mexico,1980,2023,206.37,441.05,234.68,113.7,3.07,3.4,0.33,10.9
Malaysia,1980,2023,26.3,260.0,233.7,888.5,2.03,7.4,5.38,265.4
Taiwan,1980,2023,70.1,289.11,219.01,312.4,3.88,12.4,8.52,219.9
South Africa,1980,2023,228.64,446.7,218.06,95.4,7.75,7.07,-0.68,-8.8
Singapore,1980,2023,29.41,238.96,209.55,712.4,12.08,40.35,28.27,233.9
Egypt,1980,2023,40.93,236.62,195.69,478.1,0.93,2.07,1.13,121.8
Australia and New Zealand,1980,2023,239.83,428.16,188.33,78.5,13.42,13.42,0.0,0.0
Pakistan,1980,2023,32.62,212.66,180.03,551.9,0.4,0.86,0.46,116.7
Australia,1980,2023,221.31,394.65,173.34,78.3,15.03,14.77,-0.26,-1.7
Canada,1980,2023,425.71,585.85,160.15,37.6,17.4,14.67,-2.73,-15.7
Iraq,1980,2023,34.19,190.82,156.62,458.1,2.52,4.23,1.72,68.3
Philippines,1980,2023,33.34,156.23,122.89,368.7,0.69,1.36,0.67,96.0
Bangladesh,1980,2023,7.11,125.96,118.85,1671.8,0.08,0.73,0.65,809.5
Algeria,1980,2023,45.66,163.66,118.0,258.4,2.45,3.55,1.09,44.5
Qatar,1980,2023,11.7,127.78,116.08,992.3,42.4,42.89,0.5,1.2
Argentina,1980,2023,95.37,198.14,102.77,107.8,3.4,4.35,0.95,27.8
Japan,1980,2023,871.79,960.23,88.44,10.1,7.37,7.72,0.36,4.8
Nigeria,1980,2023,26.26,114.4,88.14,335.7,0.36,0.5,0.15,41.0
Turkmenistan,1992,2023,19.35,106.22,86.86,448.9,4.91,14.42,9.52,194.0
Oman,1980,2023,3.96,84.07,80.11,2023.1,3.96,16.65,12.7,321.0
Kuwait,1980,2023,28.83,100.46,71.62,248.4,19.16,20.76,1.6,8.3
Spain,1980,2023,189.12,254.82,65.7,34.7,5.04,5.26,0.22,4.4
Chile,1980,2023,21.61,83.06,61.45,284.4,1.9,4.17,2.27,119.4
Morocco,1980,2023,13.96,64.17,50.22,359.8,0.72,1.7,0.98,137.2
Colombia,1980,2023,35.78,85.88,50.1,140.0,1.37,1.64,0.27,19.8
Israel,1980,2023,23.78,64.4,40.62,170.9,6.39,6.96,0.57,8.9
Hong Kong,1980,2023,18.12,58.43,40.31,222.4,3.65,7.85,4.2,115.0
Bahrain,1980,2023,7.76,47.82,40.06,516.3,22.85,30.19,7.34,32.1
United States,1980,2023,4756.33,4795.37,39.04,0.8,20.97,14.25,-6.71,-32.0
Peru,1980,2023,21.94,58.9,36.97,168.5,1.26,1.74,0.48,37.7
Ecuador,1980,2023,12.02,38.29,26.27,218.6,1.47,2.13,0.66,44.7
Dominican Republic,1980,2023,5.44,29.71,24.28,446.7,0.95,2.62,1.67,176.4
Trinidad and Tobago,1980,2023,10.56,33.63,23.07,218.5,9.41,22.38,12.96,137.7
Burma,1980,2023,3.99,27.01,23.01,576.5,0.12,0.5,0.38,315.2
Laos,1980,2023,0.41,23.41,23.0,5546.0,0.13,3.05,2.93,2325.3
Libya,1980,2023,24.14,46.48,22.34,92.5,7.05,6.36,-0.69,-9.8
Cambodia,1980,2023,0.04,18.78,18.74,45746.2,0.01,1.08,1.07,13582.0
Ghana,1980,2023,2.23,20.82,18.6,835.1,0.19,0.62,0.43,230.5
Panama,1980,2023,5.39,23.46,18.07,335.2,2.75,5.26,2.51,91.1
Bolivia,1980,2023,4.14,21.55,17.41,420.7,0.72,1.76,1.04,144.9
Jordan,1980,2023,5.21,22.43,17.23,330.8,2.33,1.96,-0.37,-15.9
Portugal,1980,2023,21.19,38.27,17.08,80.6,2.17,3.61,1.45,66.7
Netherlands,1980,2023,171.12,188.19,17.07,10.0,12.08,10.52,-1.56,-12.9
Ethiopia,1980,2023,1.7,18.52,16.82,989.3,0.05,0.14,0.09,191.4
Angola,1980,2023,3.39,19.66,16.27,479.9,0.42,0.53,0.12,28.3
Tunisia,1980,2023,8.54,24.65,16.11,188.6,1.29,2.02,0.73,56.3
Bosnia and Herzegovina,1992,2023,8.46,24.51,16.06,189.9,2.0,7.7,5.7,285.4
Tanzania,1980,2023,1.91,17.71,15.8,826.2,0.1,0.27,0.17,166.8
Sudan,1980,2023,3.17,18.24,15.08,476.1,0.19,0.36,0.18,96.4
New Zealand,1980,2023,18.52,33.51,14.99,80.9,5.87,6.46,0.58,10.0
Ireland,1980,2023,20.62,35.49,14.87,72.1,6.03,6.67,0.64,10.5
Guatemala,1980,2023,4.1,18.55,14.45,352.4,0.59,1.02,0.43,72.2
Sri Lanka,1980,2023,4.87,19.15,14.28,293.1,0.33,0.83,0.51,154.1
Uzbekistan,1992,2023,97.59,110.99,13.41,13.7,4.54,3.11,-1.43,-31.5
Kenya,1980,2023,5.75,19.02,13.28,231.1,0.36,0.34,-0.01,-4.2
Ivory Coast,1980,2023,4.01,16.28,12.27,305.5,0.49,0.52,0.03,7.0
Greece,1980,2023,50.85,62.06,11.21,22.0,5.25,5.96,0.71,13.5
Lebanon,1980,2023,6.44,17.48,11.05,171.7,2.19,3.03,0.84,38.6
Nepal,1980,2023,0.41,11.36,10.95,2663.3,0.03,0.38,0.36,1347.3
Honduras,1980,2023,1.7,10.53,8.84,520.5,0.46,0.99,0.53,117.3
Senegal,1980,2023,2.49,10.37,7.88,316.9,0.43,0.57,0.15,34.8
Malta,1980,2023,1.27,8.97,7.7,608.6,3.98,16.14,12.16,305.7
Mozambique,1980,2023,1.89,9.55,7.66,405.9,0.17,0.28,0.12,70.5
Norway,1980,2023,31.75,38.54,6.79,21.4,7.77,6.97,-0.8,-10.2
El Salvador,1980,2023,1.99,8.69,6.7,337.1,0.44,1.38,0.94,214.5
Mali,1980,2023,0.42,6.86,6.44,1540.6,0.06,0.29,0.23,419.8
