Country,First_Year,Last_Year,First_CO2,Last_CO2,CO2_Change,CO2_Pct_Change,First_Per_Capita,Last_Per_Capita,Per_Capita_Change,Per_Capita_Pct_Change
World,1980,2023,18721.548341673,37079.181237323,18357.63289565,98.05616800821466,4.420922004940687,4.588020081200938,0.16709807626025075,3.7797110212192626
Non-OECD,1980,2023,7567.899915957,25620.238015387,18052.33809943,238.538277460124,2.3125571858164156,3.830154561630235,1.5175973758138195,65.62420964643316
Asia & Oceania,1980,2023,3582.303038372,20078.526425578,16496.223387206,460.49212505212313,1.456070171892964,4.618352575735601,3.162282403842637,217.1792585883077
Non-OPEC,1980,2023,18245.303280669,34623.789889549,16378.48660888,89.76823436107581,4.494872012162817,4.569769441848564,0.07489742968574653,1.6662861474827133
China,1980,2023,1596.69638631,12195.65713298,10598.96074667,663.8056450521835,1.6240385367101993,8.572884666280048,6.948846129569849,427.8744606421758
Other Asia-Pacific,1980,2023,465.130455837,3029.589243212,2564.4587873749997,551.3418343591946,0.7558673838791805,2.3689628229836015,1.613095439104421,213.40984854060875
India,1980,2023,269.953800671,2820.659914465,2550.706113794,944.8676430759404,0.3927434781364479,1.9614204555167691,1.5686769773803213,399.4151563823875
IEO - Middle East,1980,2023,369.916935083,2439.192705835,2069.2757707520004,559.3893045982627,4.0125212035251385,8.430129270623048,4.41760806709791,110.09556941946845
Middle East,1980,2023,369.916935083,2439.192705835,2069.2757707520004,559.3893045982627,4.0125212035251385,8.430129270623048,4.41760806709791,110.09556941946845
Persian Gulf,1980,2023,307.675264737,2218.451707283,1910.776442546,621.0367428071693,4.937125272125149,11.71123489360609,6.774109621480941,137.20757015681465
IEO - Africa,1980,2023,450.613236808,1370.540303579,919.927066771,204.15003191816314,0.9416448064524043,0.9261224509374452,-0.015522355514959174,-1.6484300033936157
Africa,1980,2023,450.613236808,1370.540303579,919.927066771,204.15003191816314,0.9416448064524043,0.9261224509374452,-0.015522355514959174,-1.6484300033936157
OECD - Asia And Oceania,1980,2023,1254.457996141,2034.828134921,780.3701387799999,62.20775356214374,7.188327196821477,9.781449751080496,2.5931225542590193,36.074075139562964
Indonesia,1980,2023,72.183110184,829.655187982,757.472077798,1049.3757831536332,0.4846110736311233,2.9505135066348354,2.465902433003712,508.8415364772926
Iran,1980,2023,101.675675167,823.363613974,721.687938807,709.7940954133267,2.5519516726686597,9.087026013771304,6.535074341102645,256.0814301890248
Central & South America,1980,2023,590.506348311,1225.37539631,634.869047999,107.51265415094838,2.016658162907344,2.3167455414117675,0.30008737850442335,14.88042862315337
Saudi Arabia,1980,2023,107.07156022,656.510611955,549.4390517349999,513.1512519347501,18.62633360569912,19.47944905219844,0.85311544649932,4.5801576658022025
South Korea,1980,2023,138.900835503,644.231456652,505.330621149,363.80675416317837,3.6417617500644317,12.44922014820071,8.80745839813628,241.84608995853324
South Korea and other OECD Asia,1980,2023,138.900835503,644.231456652,505.330621149,363.80675416317837,3.6417617500644317,12.44922014820071,8.80745839813628,241.84608995853324
North America,1980,2023,5389.080950502,5823.429629821,434.34867931900044,8.05979133192535,16.910047409525554,11.503259924826814,-5.406787484698739,-31.973816239291303
OECD - North America,1980,2023,5388.403150502,5822.268524998,433.8653744960002,8.051835810681315,16.91057960535832,11.503707284968542,-5.406872320389777,-31.97331165796674
Other Americas,1980,2023,403.453047485,788.767323566,385.31427608099995,95.5041183807951,2.3503454951778786,2.4811733599006875,0.13082786472280894,5.5663248229344955
Turkiye,1980,2023,62.136624641,399.1734211,337.036796459,542.4124635128811,1.3683822799403287,4.573978324407637,3.2055960444673084,234.26173310334707
Thailand,1980,2023,33.57204808,336.692583354,303.120535274,902.8955711956671,0.735422417777692,4.6956927868971805,3.9602703691194883,538.5028078266473
Vietnam,1980,2023,9.513557516,305.404229075,295.890671559,3110.2000598763184,0.18124479694266157,3.0433237046621797,2.862078907719518,1579.1233491932805
United Arab Emirates,1980,2023,16.44471465,271.702662156,255.25794750599997,1552.2187702174567,16.190523432115786,25.530973470975596,9.34045003885981,57.69084661174043
Brazil,1980,2023,187.731100826,437.769177567,250.038076741,133.1894798682024,1.5488406313635705,2.073352875911655,0.5245122445480845,33.86482985575564
OPEC - Africa,1980,2023,98.529400663,335.810770998,237.28137033500002,240.82291045956245,0.9986539391081526,1.1505569939043885,0.1519030547962359,15.210780115872055
Mexico,1980,2023,206.367648321,441.049151489,234.681503168,113.72010345485863,3.0663685847798092,3.3994926108893426,0.3331240261095334,10.863795949483173
Malaysia,1980,2023,26.30173346,260.004912901,233.703179441,888.5466799989388,2.0258032943706406,7.402001147316969,5.376197852946328,265.38597641172066
Taiwan,1980,2023,70.103599558,289.109235167,219.00563560900002,312.4028394972877,3.8760137139704045,12.399000699356781,8.522986985386376,219.89052708112928
South Africa,1980,2023,228.641019322,446.703658085,218.06263876299997,95.37336712792455,7.7455911008080935,7.066710467441588,-0.6788806333665054,-8.764736280691064
Singapore,1980,2023,29.413071034,238.961548359,209.548477325,712.4331800741674,12.082594678462364,40.34835321988612,28.265758541423757,233.93781959605442
Egypt,1980,2023,40.928294484,236.617625618,195.689331134,478.1272554870332,0.9312380586210686,2.065883554469432,1.1346454958483636,121.84268945456232
Australia and New Zealand,1980,2023,239.832970193,428.158947234,188.325977041,78.52380633465408,13.416093518517844,13.417889831507855,0.0017963129900113728,0.013389240225047434
Pakistan,1980,2023,32.621529358,212.655258892,180.033729534,551.8862330402947,0.3964166846171896,0.8591975454668502,0.46278086084966064,116.74101489864317
Australia,1980,2023,221.314465808,394.653280093,173.33881428499998,78.3224059268584,15.03133525008252,14.76922846973877,-0.2621067803437498,-1.7437358423784133
Canada,1980,2023,425.707820181,585.853063509,160.145243328,37.6185815097102,17.39662724052551,14.669666026372958,-2.7269612141525528,-15.67522932146345
Iraq,1980,2023,34.19201046,190.815209688,156.623199228,458.0695815217647,2.5156000306062616,4.233371744673488,1.7177717140672266,68.2847707571876
Philippines,1980,2023,33.335758453,156.228058346,122.89229989300001,368.6500790622945,0.6938626853987636,1.3597913360292173,0.6659286506304537,95.97412638607938
Bangladesh,1980,2023,7.109008877,125.95557756,118.846568683,1671.7740931159622,0.08076910264718729,0.7345762016014743,0.653807098954287,809.4767398991962
Algeria,1980,2023,45.663590904,163.660715479,117.997124575,258.40526826518976,2.4540857585543643,3.5451853292225017,1.0910995706681375,44.460531457175925
Qatar,1980,2023,11.69816072,127.782678726,116.084518006,992.331365455885,42.39800487834934,42.89330697375903,0.4953020954096914,1.168220289683062
Argentina,1980,2023,95.372976238,198.14127928,102.76830304199999,107.75411138008863,3.4047671763840697,4.351081269434148,0.946314093050078,27.79379746180126
Japan,1980,2023,871.788589858,960.229731035,88.44114117699996,10.14479223585681,7.365642350699737,7.7206883520676035,0.35504600136786646,4.820299227997909
Nigeria,1980,2023,26.258434402,114.396913927,88.13847952500001,335.65778589711675,0.355975903929037,0.5019986753152607,0.14602277138622366,41.02040890254554
Turkmenistan,1992,2023,19.351376078,106.215175351,86.863799273,448.87660145137096,4.905678515594006,14.42271295528593,9.517034439691923,194.0003693564406
Oman,1980,2023,3.95997924,84.072743719,80.112764479,2023.0602137954645,3.9550433459043117,16.650478261110667,12.695434915206356,320.9935721274269
Kuwait,1980,2023,28.83399052,100.458539772,71.624549252,248.40317958181805,19.161573251142027,20.76112124332115,1.5995479921791222,8.347686127932056
Spain,1980,2023,189.122319329,254.822934192,65.700614863,34.73974679250112,5.039603768384655,5.262835871961853,0.2232321035771978,4.429556644465134
Chile,1980,2023,21.608615918,83.057701467,61.449085549,284.3730749909477,1.9010172473161038,4.1713914515246895,2.2703742042085855,119.42943744534394
Morocco,1980,2023,13.958279994,64.173412354,50.215132360000005,359.7515767099177,0.7172827867917372,1.7016483222804113,0.9843655354886741,137.23534896069998
Colombia,1980,2023,35.776157788,85.877571533,50.101413744999995,140.04134832445578,1.3704977221551842,1.6413545023275475,0.27085678017236337,19.763387840326065
Israel,1980,2023,23.77696031,64.400718633,40.623758323,170.85345558622416,6.388796495654498,6.957490706667902,0.5686942110134039,8.901429422587114
Hong Kong,1980,2023,18.124105359,58.432627415,40.308522056,222.40282351914126,3.652224442234978,7.850962753068966,4.198738310833988,114.96386318099803
Bahrain,1980,2023,7.759153,47.818391012,40.059238012,516.2836460629143,22.847561566324202,30.18963606564415,7.342074499319949,32.135046350599104
United States,1980,2023,4756.327682,4795.36631,39.038628000000244,0.8207724658614101,20.965001007185176,14.25304673869429,-6.711954268490887,-32.015043863773485
Peru,1980,2023,21.937153824,58.903342851,36.966189027,168.5095036647722,1.2635917863941777,1.7403540031040952,0.4767622167099175,37.73071508089017
Ecuador,1980,2023,12.016231,38.286222591,26.269991591,218.62089361464507,1.4715175112238403,2.129368867713603,0.6578513564897628,44.70564240466545
Dominican Republic,1980,2023,5.43528,29.712826886,24.277546886,446.66598383155974,0.9487248904135197,2.6221997276560596,1.6734748372425399,176.39200300870405
Trinidad and Tobago,1980,2023,10.55811155,33.62887694,23.07076539,218.5122337526354,9.412229127144874,22.37551462075463,12.963285493609755,137.72811220907948
Burma,1980,2023,3.992116551,27.00536287,23.013246319,576.46729560627,0.1201460415262195,0.4988632401567966,0.3787171986305771,315.21404602242313
Laos,1980,2023,0.41466,23.41157661,22.99691661,5545.969374909565,0.12593798224063674,3.054350683686208,2.928412701445571,2325.281578555141
Libya,1980,2023,24.1409594,46.478872154,22.337912754,92.5311723692307,7.049735572416362,6.362036902351998,-0.6876986700643641,-9.754956948387344
Cambodia,1980,2023,0.04096,18.778591848,18.737631848000003,45746.171503906255,0.007877116975187082,1.0777502971783552,1.0698731802031682,13582.04002267922
Ghana,1980,2023,2.22666,20.821880772,18.595220772,835.1172056802566,0.1864647928015442,0.6162524042475548,0.4297876114460106,230.49263348252373
Panama,1980,2023,5.39004,23.458188754,18.068148754,335.213630214247,2.7534847415166226,5.261147497319321,2.5076627558026985,91.07233165277955
