Country,Flag,First_Year,Last_Year,CO2_Change_Mt,CO2_Pct_Change,Last_CO2_Mt,Last_Per_Capita_t
Afghanistan,🇦🇫,1980,2023,6.43,484.99,7.76,0.187
Africa,,1980,2023,919.93,204.15,1370.54,0.926
Albania,🇦🇱,1980,2023,-6.23,-64.73,3.39,1.207
Algeria,🇩🇿,1980,2023,118.0,258.41,163.66,3.545
American Samoa,,1980,2019,-0.07,-16.25,0.36,6.436
Angola,🇦🇴,1980,2023,16.27,479.88,19.66,0.535
Antigua and Barbuda,🇦🇬,1988,2023,0.32,81.15,0.72,7.765
Argentina,🇦🇷,1980,2023,102.77,107.75,198.14,4.351
Armenia,🇦🇲,1992,2023,-3.96,-35.64,7.14,2.427
Aruba,,1986,2023,1.06,1063.0,1.16,10.775
Asia & Oceania,,1980,2023,16496.22,460.49,20078.53,4.618
Australia,🇦🇺,1980,2023,173.34,78.32,394.65,14.769
Australia and New Zealand,,1980,2023,188.33,78.52,428.16,13.418
Austria,🇦🇹,1980,2023,1.7,3.07,56.96,6.233
Azerbaijan,🇦🇿,1992,2023,-19.21,-33.06,38.89,3.769
Bahrain,🇧🇭,1980,2023,40.06,516.28,47.82,30.19
Bangladesh,🇧🇩,1980,2023,118.85,1671.77,125.96,0.735
Barbados,🇧🇧,1980,2023,0.38,38.84,1.35,4.774
Belarus,🇧🇾,1992,2023,-42.58,-47.69,46.71,5.124
Belgium,🇧🇪,1980,2023,-27.79,-19.87,112.08,9.507
Belize,🇧🇿,1980,2023,0.44,193.68,0.66,1.611
Benin,🇧🇯,1980,2023,5.53,1314.03,5.95,0.422
Bermuda,,1988,2023,-0.22,-27.86,0.58,8.92
Bhutan,🇧🇹,1980,2023,0.73,16540.02,0.73,0.932
Bolivia,🇧🇴,1980,2023,17.41,420.72,21.55,1.76
Bosnia and Herzegovina,🇧🇦,1992,2023,16.06,189.89,24.51,7.696
Botswana,🇧🇼,1980,2023,4.66,378.52,5.9,2.378
Brazil,🇧🇷,1980,2023,250.04,133.19,437.77,2.073
British Virgin Islands,,1980,2023,0.17,747.99,0.19,4.822
Brunei,🇧🇳,1980,2023,6.31,139.79,10.82,23.581
Bulgaria,🇧🇬,1980,2023,-57.91,-63.38,33.47,5.191
